model,n_qubits,n_inits,grad_var,grad_mean,grad_absmean
equivariant,2,30,2.4153637163968614e-05,-2.2944962256588042e-05,0.003312599147708776
equivariant,4,30,8.45106948281546e-06,3.331710880350632e-05,0.0021026814970052025
equivariant,6,30,2.5402771797770566e-06,-0.00017018213523745847,0.001092379862529924
equivariant,8,30,2.3260524216433026e-06,4.4588037417270245e-05,0.0010885902544638764
non_equivariant,2,30,2.0829166155887148e-05,-0.00014920578978490085,0.0021511948987608777
non_equivariant,4,30,3.1389904341111224e-06,7.549770574163024e-05,0.0011717550873678799
non_equivariant,6,30,3.4872613056072063e-06,-0.00032802395483789347,0.001401201926637441
non_equivariant,8,30,1.6911991382453283e-06,0.0004113043891265988,0.0009891992861715455
generic,2,30,0.00015299513482846383,0.0015735638301218084,0.00789964236440331
generic,4,30,2.81768332571867e-05,0.00021352869778941871,0.003947210550829065
generic,6,30,5.570610494581279e-06,6.197521506692282e-05,0.0017453242988267447
generic,8,30,1.4320673269670536e-06,-0.00015347023096789296,0.0009022922880831174
