model,N,gap_mean,gap_std
equivariant,20.0,0.02744077063492064,0.1669287039939365
equivariant,50.0,0.07365868648234071,0.05822903800969051
equivariant,100.0,0.04023632955567595,0.04713788591557067
equivariant,200.0,0.037260911037199765,0.02546311737156883
equivariant,500.0,0.04102982034610829,0.015608133954451627
equivariant,1000.0,0.031118611422500837,0.013572695468128957
non_equivariant,20.0,0.10773789722222223,0.15275818907161884
non_equivariant,50.0,0.07500461702528527,0.07178215075148277
non_equivariant,100.0,0.06859989322029221,0.043911435771961466
non_equivariant,200.0,0.04538288786993865,0.02874814605379835
non_equivariant,500.0,0.04190756783858635,0.018136320730424933
non_equivariant,1000.0,0.03133430417902122,0.014983766041007865
classical_matched,20.0,0.07084158531746035,0.10660430017401505
classical_matched,50.0,0.09637404674131567,0.09963234427853705
classical_matched,100.0,0.04553378837695181,0.06926639499570922
classical_matched,200.0,0.020980644512019996,0.051607126168022245
classical_matched,500.0,0.023616898070851895,0.024543784852299962
classical_matched,1000.0,0.0033324794081723173,0.02025655633510656
classical_reference,20.0,0.14684224761904766,0.14235622632131084
classical_reference,50.0,0.08284652544917767,0.05457295330819174
classical_reference,100.0,0.044811384053969526,0.029318110666023793
classical_reference,200.0,0.02682196621503078,0.03213073830635776
classical_reference,500.0,0.03031054482792031,0.02110552167411247
classical_reference,1000.0,0.02627905395394444,0.017399879365136477
