model,N,auc_mean,auc_std,n
equivariant,20.0,0.579053525,0.18338420407077158,20.0
equivariant,50.0,0.7864878249999999,0.060833070333857715,20.0
equivariant,100.0,0.820067725,0.03738669968137239,20.0
equivariant,200.0,0.8378425500000001,0.011746784564408726,20.0
equivariant,500.0,0.8533122750000001,0.017446359548986195,20.0
equivariant,1000.0,0.862351525,0.005386825899883722,20.0
non_equivariant,20.0,0.573546825,0.12538154039930272,20.0
non_equivariant,50.0,0.700682475,0.10702814659096324,20.0
non_equivariant,100.0,0.7595942250000001,0.08945292036059421,20.0
non_equivariant,200.0,0.8198596,0.029288796531312642,20.0
non_equivariant,500.0,0.844753825,0.007509108031470147,20.0
non_equivariant,1000.0,0.8501993999999999,0.006038347505297852,20.0
classical_matched,20.0,0.536663375,0.07530542270557367,20.0
classical_matched,50.0,0.5583362249999999,0.06483730546478277,20.0
classical_matched,100.0,0.5987686249999999,0.03024297200737413,20.0
classical_matched,200.0,0.605339175,0.03968454934502549,20.0
classical_matched,500.0,0.6293154750000001,0.013010003916495828,20.0
classical_matched,1000.0,0.635316275,0.007195431104225642,20.0
classical_reference,20.0,0.6764018,0.16037647452555925,20.0
classical_reference,50.0,0.804715975,0.0666111077615665,20.0
classical_reference,100.0,0.844184375,0.020878411640455112,20.0
classical_reference,200.0,0.86020495,0.008232054557290716,20.0
classical_reference,500.0,0.8683111,0.005384319300671016,20.0
classical_reference,1000.0,0.870233575,0.005727710388690279,20.0
