model,N,n_qubits,noise_regime,noise_level,replicate,train_auc,val_score,test_auc,gen_gap,best_epoch,restarts_used,escaped,n_train,n_params,seed,train_secs
equivariant,200,4,iid,high,3,0.9068604469448351,0.9160401002506265,0.8473499999999998,0.059510446944835316,48,1,True,200,61,3531259822,677.78
non_equivariant,500,4,none,none,9,0.8847740741666874,0.9229225210758731,0.8373309999999999,0.04744307416668747,26,1,True,500,61,3062766371,21.13
non_equivariant,20,4,none,none,18,0.5238095238095238,1.0,0.7062299999999999,-0.18242047619047608,26,1,True,20,61,1255801022,3.45
equivariant,200,4,none,none,11,0.8724769206696917,0.8721227621483376,0.83371,0.038766920669691785,26,1,True,200,61,2062092436,11.49
non_equivariant,100,4,none,none,17,0.8724999999999999,0.9600000000000001,0.8171385,0.05536149999999995,45,1,True,100,61,648176605,12.14
non_equivariant,200,2,correlated,high,3,0.6819815596186904,0.9323308270676691,0.6811659999999999,0.000815559618690509,14,4,False,200,27,3531259822,248.57
non_equivariant,200,8,correlated,mid,0,0.8216072545340838,0.6565656565656566,0.836047,-0.014439745465916198,26,1,True,200,153,3832603222,3036.15
classical_matched,200,0,none,none,13,0.6303939962476548,0.5025252525252525,0.6228134999999999,0.007580496247654889,26,1,True,200,61,3822982424,0.28
non_equivariant,200,6,correlated,mid,6,0.843671679197995,0.8828125,0.8408169999999999,0.0028546791979950914,40,1,True,200,103,419792074,1171.48
non_equivariant,200,2,correlated,low,7,0.8634016585823815,0.7391304347826086,0.8012585,0.06214315858238151,26,1,True,200,27,2152804316,115.32
non_equivariant,200,6,none,none,1,0.9242685025817555,0.9667519181585678,0.8573899999999999,0.06687850258175565,39,1,True,200,103,1751689673,51.65
non_equivariant,20,4,none,none,0,0.703125,0.625,0.47068799999999994,0.23243700000000006,26,1,True,20,61,1953944769,5.1
equivariant,20,4,none,none,6,0.7777777777777778,0.6666666666666667,0.82969,-0.05191222222222225,26,1,True,20,61,383150152,5.34
classical_matched,100,0,none,none,2,0.6366479049405879,0.8686868686868687,0.623414,0.013233904940587848,26,1,True,100,61,2661375726,0.17
classical_matched,1000,0,none,none,13,0.6175913599459997,0.6601660166016602,0.641563,-0.02397164005400032,26,1,True,1000,61,822778051,0.86
classical_matched,20,0,none,none,12,0.38095238095238093,1.0,0.447503,-0.06655061904761905,26,1,True,20,61,3482319415,0.14
equivariant,500,4,none,none,13,0.9210730268256707,0.8565426170468188,0.863347,0.05772602682567074,48,1,True,500,61,2073905543,49.21
equivariant,1000,4,none,none,16,0.8951518107242897,0.8660426731078905,0.8666829999999999,0.02846881072428986,41,1,True,1000,61,1083113627,79.9
equivariant,200,4,correlated,mid,1,0.8920356751682053,0.9872122762148338,0.836258,0.05577767516820531,64,1,True,200,61,1751689673,273.92
equivariant,200,4,iid,high,0,0.8506879299562227,0.7045454545454545,0.821847,0.028840929956222672,26,1,True,200,61,3832603222,361.7
non_equivariant,500,4,none,none,4,0.8617861786178618,0.8265224358974359,0.8369039999999999,0.024882178617861905,26,1,True,500,61,4227885329,21.48
equivariant,100,4,iid,mid,0,0.7872474747474747,0.9166666666666667,0.8438350000000001,-0.05658752525252542,34,1,True,100,61,933496318,125.99
equivariant,200,4,correlated,low,0,0.8545966228893058,0.7272727272727272,0.83362,0.020976622889305796,26,1,True,200,61,3832603222,120.14
equivariant,200,4,none,none,10,0.8638710686903458,0.928388746803069,0.8352950000000001,0.02857606869034568,30,1,True,200,61,3933050957,13.02
non_equivariant,200,6,correlated,low,8,0.8964705882352941,0.752,0.8323750000000001,0.06409558823529404,31,1,True,200,103,4118718478,962.92
non_equivariant,200,4,correlated,mid,1,0.9020497574714442,0.9539641943734014,0.834913,0.06713675747144421,52,1,True,200,61,1751689673,444.44
equivariant,100,4,iid,mid,1,0.8724202626641652,0.7575757575757576,0.7948279999999999,0.0775922626641653,38,2,True,100,61,1270355181,164.14
equivariant,20,4,none,none,18,0.7460317460317462,1.0,0.6601685000000002,0.085863246031746,26,1,True,20,61,1255801022,10.47
non_equivariant,200,4,iid,high,1,0.9151932404944454,0.9437340153452685,0.851557,0.06363624049444538,69,1,True,200,61,1751689673,2564.25
classical_matched,50,0,none,none,7,0.6992481203007519,0.625,0.6057275,0.09352062030075192,26,1,True,50,61,347617362,0.14
non_equivariant,100,4,none,none,19,0.924812030075188,0.8645833333333333,0.8282080000000002,0.09660403007518781,51,1,True,100,61,1147718802,13.68
classical_matched,200,0,none,none,18,0.6017837584102643,0.6803069053708439,0.638122,-0.03633824158973564,52,1,True,200,61,1528824484,0.51
