model,N,n_qubits,noise_regime,noise_level,replicate,train_auc,val_score,test_auc,gen_gap,best_epoch,restarts_used,escaped,n_train,n_params,seed,train_secs
non_equivariant,20,4,none,none,0,0.703125,0.625,0.47068799999999994,0.23243700000000006,26,1,True,20,61,1953944769,5.1
equivariant,100,4,iid,mid,0,0.7872474747474747,0.9166666666666667,0.8438350000000001,-0.05658752525252542,34,1,True,100,61,933496318,125.99
equivariant,100,4,iid,mid,1,0.8724202626641652,0.7575757575757576,0.7948279999999999,0.0775922626641653,38,2,True,100,61,1270355181,164.14
equivariant,100,4,none,none,1,0.8317698561601,0.7474747474747475,0.7638550000000002,0.06791485616009985,26,2,True,100,61,1270355181,10.99
non_equivariant,100,4,iid,mid,1,0.760475297060663,0.8787878787878789,0.7715714999999999,-0.011096202939336886,29,2,True,100,61,1270355181,147.17
classical_matched,100,0,none,none,1,0.5759849906191369,0.6363636363636364,0.609329,-0.03334400938086313,26,1,True,100,61,1270355181,0.15
non_equivariant,100,4,correlated,mid,1,0.7335834896810507,0.9393939393939393,0.7655315,-0.03194801031894934,26,2,True,100,61,1270355181,86.49
equivariant,100,4,correlated,mid,1,0.83552220137586,0.8484848484848484,0.7110865,0.12443570137586002,26,2,True,100,61,1270355181,86.42
non_equivariant,100,4,none,none,0,0.7029671717171717,0.8095238095238095,0.651309,0.051658171717171686,26,1,True,100,61,933496318,8.0
classical_matched,20,0,none,none,1,0.7619047619047619,1.0,0.596115,0.1657897619047619,26,1,True,20,61,3285061152,0.09
classical_reference,20,0,none,none,1,0.9047619047619048,1.0,0.686621,0.21814090476190473,26,1,True,20,641,3285061152,0.11
non_equivariant,20,4,none,none,1,0.746031746031746,1.0,0.5914075,0.15462424603174607,26,1,True,20,61,3285061152,4.99
equivariant,100,2,none,none,0,0.5688131313131313,0.6071428571428571,0.631251,-0.062437868686868736,38,3,True,100,27,933496318,6.19
equivariant,20,4,none,none,0,0.5625,0.5,0.3989475,0.1635525,14,2,True,20,61,1953944769,6.07
classical_reference,100,0,none,none,0,0.860479797979798,0.9880952380952381,0.8471894999999998,0.013290297979798193,28,1,True,100,641,933496318,0.19
classical_matched,20,0,none,none,0,0.671875,0.5,0.41807,0.253805,33,1,True,20,61,1953944769,0.16
non_equivariant,100,4,iid,mid,0,0.8093434343434343,0.8095238095238095,0.7987234999999999,0.010619934343434334,42,1,True,100,61,933496318,144.45
equivariant,100,2,none,none,1,0.8105065666041276,0.7575757575757576,0.7663009999999999,0.044205566604127666,26,1,True,100,27,1270355181,2.25
classical_reference,100,0,none,none,1,0.9036898061288305,0.8383838383838385,0.8471949999999999,0.05649480612883062,33,1,True,100,641,1270355181,0.21
non_equivariant,100,4,none,none,1,0.7517198248905567,0.8888888888888888,0.7548509999999999,-0.003131175109443274,26,2,True,100,61,1270355181,11.0
classical_reference,20,0,none,none,0,0.765625,1.0,0.8077404999999999,-0.04211549999999986,26,1,True,20,641,1953944769,0.1
non_equivariant,100,2,none,none,0,0.4558080808080809,0.5178571428571428,0.49655200000000005,-0.040743919191919165,14,3,True,100,27,933496318,4.86
equivariant,20,4,none,none,1,0.4444444444444445,1.0,0.5748155,-0.13037105555555556,26,1,True,20,61,3285061152,5.06
non_equivariant,100,2,none,none,1,0.8592870544090057,0.8787878787878787,0.8071459999999999,0.05214105440900574,46,1,True,100,27,1270355181,4.12
classical_matched,100,0,none,none,0,0.6148989898989898,0.7738095238095238,0.6038359999999999,0.011062989898989906,26,1,True,100,61,933496318,0.16
non_equivariant,100,4,correlated,mid,0,0.7859848484848484,0.8571428571428572,0.7242795000000001,0.06170534848484832,32,1,True,100,61,933496318,69.81
equivariant,100,4,correlated,mid,0,0.8547979797979797,0.9166666666666667,0.8467680000000001,0.008029979797979592,37,1,True,100,61,933496318,78.38
equivariant,100,4,none,none,0,0.7140151515151515,0.8571428571428572,0.758224,-0.04420884848484852,26,1,True,100,61,933496318,7.79
